Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,Sector
ncblss.org,,State Government,North Carolina,accepted term,The North Carolina Soil Scientist Licensing Program -- Note added 9/14/15 20:28,http://ncblss.org/,6/6/13 18:08,north carolina
ncboeslpa.org,,State Government,North Carolina,accepted term,NC Board of Examiners for Speech Language and Pathologist & Audiologist n  -- Note added 9/14/15 20:30,http://ncboeslpa.org/,6/6/13 18:08,nc board
ncbola.org,,State Government,North Carolina,accepted term,Welcome to the NC Board of Landscape Architects -- Note added 9/14/15 20:31,http://ncbola.org/,6/6/13 18:08,nc board
ncbon.com,,State Government,North Carolina,accepted term,NC Board of Nursing -- Note added 9/14/15 20:31,http://www.ncbon.com/,6/6/13 18:08,nc board
ncbop.org,,State Government,North Carolina,accepted term,NC Board of Pharmacy -- Note added 9/14/15 20:32,http://www.ncbop.org/,6/6/13 18:08,nc board
ncbot.org,,State Government,North Carolina,accepted term,The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32,http://ncbot.org/,6/6/13 18:08,north carolina
ncbpe.org,,State Government,North Carolina,accepted term,The Board of Podiatry Examiners for the State of North Carolina  -- Note added 9/14/15 20:32,http://ncbpe.org/,6/6/13 18:08,state north
ncbrownfields.org,,State Government,North Carolina,accepted term,NC Waste Management -- Note added 9/14/15 20:33,http://ncbrownfields.org/,6/6/13 18:08,waste management
ncbusinesscourt.net,,State Government,North Carolina,accepted term,nc business court -- Note added 9/14/15 20:33,http://ncbusinesscourt.net/,6/6/13 18:08,court note
ncbussafety.org,,State Government,North Carolina,accepted term,NC School bus Safety -- Note added 9/14/15 20:34,http://ncbussafety.org/,6/6/13 18:08,nc school
ncbytrain.org,,State Government,North Carolina,accepted term,"Rail Division, North Carolina Department of Transportation -- Note added 7/24/13 16:07",http://www.ncbytrain.org/,6/6/13 18:08,division north
nccbsw.org,,State Government,,accepted term,North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:10,,6/6/13 18:08,north carolina
nccgl.net,,State Government,North Carolina,accepted term,"The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. -- Note added 9/14/15 20:47",http://www.nccgl.com/,6/6/13 18:08,north carolina
ncchildsupport.com,,State Government,North Carolina,accepted term,NC Child Support Enforcement -- Note added 9/14/15 20:36,http://ncchildsupport.com/,6/6/13 18:08,note added
ncchiroboard.com,,State Government,North Carolina,accepted term,North Carolina Board of Chiropractic Examiners -- Note added 9/14/15 20:37,http://ncchiroboard.com/,6/6/13 18:08,north carolina
nccivilwar150.com,,State Government,North Carolina,accepted term,"North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54",http://nccivilwar150.com/,6/6/13 18:08,north carolina
nccoastalmanagement.net,,State Government,North Carolina,accepted term,NC Division of Coastal Management -- Note added 1/14/14 14:16,http://nccoastalmanagement.net/,6/6/13 18:08,nc division
nccoastalreserve.net,,State Government,North Carolina,accepted term,"NC Coastal Reserve and National Estuarine Research Reserve, NC DEQ -- Note added 11/12/15 14:51",http://www.nccoastalreserve.net/,6/6/13 18:08,note added
nccob.org,,State Government,North Carolina,accepted term,North Carolina Office of the Commissioner of Banks (NCCOB) -- Note added 11/19/13 18:51,http://www.nccob.org/public/,6/6/13 18:08,north carolina
nccommerce.com,,State Government,North Carolina,accepted term,North Carolina Department of Commerce -- Note added 7/24/13 16:42,http://nccommerce.com/,6/6/13 18:08,north carolina
nccourts.org,,State Government,North Carolina,accepted term,nc court system -- Note added 9/14/15 20:38,http://nccourts.org/,6/6/13 18:08,nc court
nccrimecontrol.org,,State Government,North Carolina,accepted term,NC Dept of Public Safety -- Note added 9/14/15 20:39,https://www.ncdps.gov/,6/6/13 18:08,nc dept
ncdenr.org,,State Government,North Carolina,accepted term,N.C. Department of Environment and Natural Resources -- Note added 7/24/13 16:27,http://portal.ncdenr.org/web/guest,6/6/13 18:08,nc department
